commit,conf_high,conf_medium,conf_low,sev_high,sev_medium,sev_low,unique_cwes
12f4f95,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
083e623,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
d97cacc,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
ddefc3f,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
a8e4fd1,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
a4d3f25,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
ec0e784,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
51df0df,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
46b3e7d,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
d734f16,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
40d5516,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
