commit,conf_high,conf_medium,conf_low,sev_high,sev_medium,sev_low,unique_cwes
2828912,3097,1,8,5,55,3046,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
48747b2,3097,1,8,5,55,3046,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
d892095,3097,1,8,5,55,3046,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
ab364af,3100,1,8,5,55,3049,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
937e745,3101,1,8,5,55,3050,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
c069b30,3107,1,8,5,55,3056,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
aa426be,3121,1,8,5,55,3070,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
f2100d5,3112,1,8,5,55,3061,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
a0a6bdb,3121,1,8,5,55,3070,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
d1f321f,3121,1,8,5,55,3070,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
250a8bb,3121,1,8,5,55,3070,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
573292d,3121,1,8,5,55,3070,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
0ed7cf5,3121,1,8,5,55,3070,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
380afc8,3121,1,8,5,55,3070,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
4de75b7,3129,1,8,5,55,3078,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
c13683a,3131,1,8,5,55,3080,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
2f55cd5,3131,1,8,5,55,3080,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
c0eb43e,3139,1,8,5,55,3088,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
43c35e7,3143,1,8,4,55,3093,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
a7ba07c,3145,1,8,4,55,3095,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
b5c141c,3145,1,8,4,55,3095,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
2f7f62e,3146,1,8,4,55,3096,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
9549613,3164,1,8,4,54,3115,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
b86ebba,3164,1,8,4,54,3115,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
e31d8ed,3165,1,8,4,54,3116,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
690884f,3171,1,8,4,54,3122,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
110c774,3174,1,8,4,54,3125,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
5189609,3175,1,8,4,54,3126,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
5a89bdb,3175,1,8,4,54,3126,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
4754161,3175,1,8,4,54,3126,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
6df1bb3,3191,1,8,4,54,3142,"CWE-20, CWE-22, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-732, CWE-78"
