commit,conf_high,conf_medium,conf_low,sev_high,sev_medium,sev_low,unique_cwes
355937b,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
f934cb3,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
41d466b,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
6b89245,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
7f0215f,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
4ad187a,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
485d39c,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
72b35a4,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
9b19580,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
baa2094,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
ee7d35e,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
033bbae,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
b1804ee,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
970503f,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
81f7de1,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
23c1965,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
0d46062,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
8fd043f,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
7d57c15,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
f986c51,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
aa5c892,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
6385b7f,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
74775ca,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
8481e68,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
7a98fd2,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
5035b6d,7070,5,4,4,64,7011,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
446adff,7073,5,4,4,64,7014,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
e5b9dff,7072,5,4,4,64,7013,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
cf079f0,7072,5,4,4,64,7013,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
c6c3443,7072,5,4,4,64,7013,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
19ef479,7072,5,4,4,64,7013,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
0d98d14,7072,5,4,4,64,7013,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
99d5cd0,7072,5,4,4,64,7013,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
6c163c6,7072,5,4,4,64,7013,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
c9aeb15,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
5cfbe87,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
a8bef5f,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
e5b78f0,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
a7bce39,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
7e578a2,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
186183c,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
42e7aa8,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
62b2e23,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
c74b875,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
191bdbf,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
bf52a0a,7080,5,4,4,64,7021,"CWE-22, CWE-259, CWE-327, CWE-330, CWE-377, CWE-400, CWE-502, CWE-703, CWE-78, CWE-94"
